num_containers,cpu,arrival_rate,instant_tps,avg_cpu_util,prev_arrival_rate,response_time
1,46,26,9,0.7717391304347826,27,2834.35
2,41,27,15,0.8058536585365854,26,1489.16
3,46,27,21,0.7562318840579711,27,886.16
3,49,27,20,0.7128571428571429,27,1048.4
2,48,26,16,0.7610416666666667,27,1469.41
3,43,25,20,0.7710077519379844,26,872.53
3,49,24,19,0.6368027210884354,25,758.36
1,47,25,9,0.75,24,2781.52
2,47,24,15,0.7122340425531914,25,1297.02
2,44,23,14,0.7769318181818181,24,1211.39
2,43,22,15,0.8240697674418604,23,1155.37
2,49,22,14,0.6426530612244897,22,1149.73
3,40,22,20,0.7976666666666666,22,593.49
2,43,23,15,0.8013953488372094,22,1162.9
1,40,23,9,0.88375,23,2514.66
1,45,24,9,0.7837777777777778,23,2670.96
2,42,24,15,0.8271428571428572,24,1213.76
1,42,26,8,0.8402380952380952,24,2893.36
2,47,27,15,0.7711702127659574,26,1523.93
1,47,30,9,0.7612765957446808,27,3318.7
1,47,29,9,0.7559574468085106,30,3172.95
1,48,26,9,0.7345833333333334,29,2869.89
2,46,23,15,0.6957608695652174,26,1294.22
1,40,19,9,0.882,23,2074.6
1,46,17,9,0.7715217391304349,19,1862.08
1,40,14,9,0.88475,17,1535.8
1,47,7,7,0.591063829787234,14,282.16
3,46,5,5,0.16572463768115941,7,172.61
3,46,4,4,0.13891304347826086,5,151.6
2,42,3,3,0.1470238095238095,4,159.41
2,42,4,4,0.2138095238095238,3,147.14
1,42,3,3,0.35880952380952374,4,194.63
1,43,3,3,0.27558139534883724,3,161.39
1,41,2,2,0.19146341463414637,3,201.54
1,45,2,2,0.1862222222222222,2,200.76
1,49,3,3,0.253469387755102,2,171.14
1,48,4,4,0.33916666666666667,3,187.79
1,44,6,6,0.555,4,215.51
1,45,10,9,0.7871111111111111,6,1056.55
2,44,14,14,0.701931818181818,10,345.36
1,46,18,9,0.7715217391304349,14,1981.95
1,49,21,9,0.72,18,2325.23
2,42,22,15,0.7933333333333332,21,1070.21
2,43,24,16,0.8224418604651164,22,1288.41
3,49,25,18,0.5823129251700679,24,909.2
1,41,27,9,0.8585365853658538,25,2997.77
3,43,27,19,0.7298449612403101,27,942.91
3,47,27,20,0.7495035460992909,27,1014.3
1,46,26,9,0.7726086956521739,27,2855.96
1,48,27,9,0.7375,26,2974.52
3,41,27,21,0.8074796747967479,27,911.5
3,49,27,21,0.6415646258503401,27,845.92
1,49,26,7,0.7581632653061223,27,3540.43
2,41,25,14,0.7690243902439026,26,1302.11
3,41,24,20,0.8120325203252032,25,773.73
1,47,25,9,0.7502127659574468,24,2771.51
1,44,24,9,0.8084090909090909,25,2633.6
3,44,23,19,0.7037878787878786,24,708.41
1,40,22,9,0.88775,23,2400.11
2,43,22,15,0.8283720930232559,22,1047.05
2,49,22,16,0.7412244897959184,22,1136.81
2,41,23,15,0.854268292682927,22,1227.12
2,46,23,15,0.727608695652174,23,1189.68
2,44,24,15,0.8196590909090908,23,1186.29
1,41,24,9,0.8641463414634147,24,2640.76
1,45,26,8,0.782888888888889,24,2898.67
2,41,27,15,0.8228048780487806,26,1408.84
2,44,30,15,0.7951136363636363,27,1699.12
1,40,29,9,0.8845,30,3187.27
1,40,26,9,0.88375,29,2885.78
1,49,23,9,0.726938775510204,26,2537.8
2,42,19,14,0.8389285714285715,23,913.53
3,42,17,17,0.6634126984126983,19,275.78
3,46,14,14,0.5077536231884058,17,231.41
3,41,7,7,0.25357723577235763,14,151.54
3,40,5,5,0.20458333333333334,7,139.85
2,42,4,4,0.2070238095238095,5,133.24
2,45,3,3,0.15966666666666668,4,136.34
2,47,4,4,0.1874468085106383,3,143.65
1,44,3,3,0.2861363636363636,4,125.99
1,41,3,3,0.3082926829268293,3,128.26
1,47,2,2,0.17425531914893616,3,127.14
3,47,2,2,0.0679432624113475,2,142.97
2,41,3,3,0.13865853658536587,2,129.72
2,45,4,4,0.2118888888888889,3,144.12
3,40,6,6,0.2264166666666666,4,160.77
3,43,10,10,0.3655813953488372,6,189.17
2,49,14,14,0.6449999999999999,10,408.18
1,43,18,9,0.8309302325581396,14,1980.75
1,46,21,9,0.7680434782608696,18,2315.09
2,41,22,14,0.7787804878048782,21,1148.9
2,45,24,15,0.7544444444444445,22,1269.29
3,44,25,18,0.6529545454545455,24,851.65
2,43,27,16,0.8401162790697674,25,1443.26
2,46,27,14,0.7147826086956522,27,1547.63
2,44,27,15,0.7825,27,1572.94
3,46,26,21,0.7544202898550727,27,820.01
1,42,27,9,0.8414285714285713,26,2983.72
3,48,27,21,0.74,27,893.6
3,47,27,22,0.7513475177304964,27,872.72
2,42,26,16,0.8682142857142857,27,1539.05
3,49,25,23,0.7139455782312925,26,746.33
1,49,24,9,0.7224489795918367,25,2651.64
2,44,25,14,0.7485227272727272,24,1333.08
