num_containers,arrival_rate,cpu_shares_per_container,avg_cpu_usage,latency,processing_rate,previous_arrival_rate,arrival_change_rate,cpu_utilization,data_processing_rate
1,27,4100,3553.0,2.96766,9.12,26,1.0384615384615385,0.8665853658536585,0.33777777777777773
3,27,4200,3317.3333333333335,0.9309700000000001,20.43,27,1.0,0.7898412698412699,0.7566666666666667
2,27,4100,3542.0,1.4803,15.47,27,1.0,0.8639024390243902,0.572962962962963
1,26,4800,3527.0,2.83018,9.18,27,0.9629629629629629,0.7347916666666666,0.35307692307692307
3,25,4900,3315.0,0.81931,20.98,26,0.9615384615384616,0.676530612244898,0.8392000000000001
2,24,4000,3320.9999999999995,1.30026,14.75,25,0.96,0.8302499999999999,0.6145833333333334
2,25,4800,3293.0,1.3947100000000001,14.95,24,1.0416666666666667,0.6860416666666667,0.598
2,24,4300,3369.5,1.26625,15.43,25,0.96,0.7836046511627907,0.6429166666666667
2,23,4700,3318.5,1.23661,14.2,24,0.9583333333333334,0.706063829787234,0.6173913043478261
2,22,4700,3480.5,1.0956400000000002,15.12,23,0.9565217391304348,0.740531914893617,0.6872727272727273
3,22,4800,3187.666666666667,0.59065,20.77,22,1.0,0.6640972222222223,0.9440909090909091
3,22,4700,3314.333333333334,0.5841799999999999,21.07,22,1.0,0.7051773049645391,0.9577272727272728
1,23,4400,3553.0,2.51672,9.15,22,1.0454545454545454,0.8075,0.3978260869565218
3,23,4700,3089.0,0.72382,19.32,23,1.0,0.6572340425531915,0.84
3,24,4600,3210.6666666666665,0.7599,21.12,23,1.0434782608695652,0.6979710144927536,0.88
1,24,4000,3527.0,2.65183,9.05,24,1.0,0.88175,0.3770833333333334
2,26,4900,3235.0,1.38211,14.88,24,1.0833333333333333,0.6602040816326531,0.5723076923076923
2,27,4200,3115.0,1.55505,14.22,26,1.0384615384615385,0.7416666666666667,0.5266666666666667
1,30,4200,3527.0,3.30403,9.07,27,1.1111111111111112,0.8397619047619047,0.30233333333333334
3,29,4700,3473.0000000000005,0.96908,21.8,30,0.9666666666666667,0.738936170212766,0.7517241379310345
3,26,4600,3101.333333333333,0.8177300000000001,20.9,29,0.896551724137931,0.6742028985507246,0.8038461538461538
1,23,4100,3527.0,2.53733,9.07,26,0.8846153846153846,0.8602439024390244,0.3943478260869565
2,19,4800,3479.5,0.93108,14.82,23,0.8260869565217391,0.7248958333333333,0.78
2,17,4500,3436.0,0.71948,15.2,19,0.8947368421052632,0.7635555555555555,0.8941176470588235
